"","CoreArea","variable","value"
"127","Crowheart","sip95_0_5",39.6646908986
"128","Crowheart","sip95_5_15",37.5246767497
"129","Daniel","bdmn_0_5",1.27845684525
"130","Daniel","bdmn_5_15",1.26315180351
"131","Daniel","bdp5_0_5",1.0202954329
"132","Daniel","bdp5_5_15",1.00928435571
"133","Daniel","bdp50_0_5",1.26357698661
"134","Daniel","bdp50_5_15",1.26259286376
"135","Daniel","bdp95_0_5",1.43290117818
"136","Daniel","bdp95_5_15",1.41991941662
"137","Daniel","clmn_0_5",16.5965721282
"138","Daniel","clmn_5_15",20.5383205475
"139","Daniel","clp5_0_5",7.73700216147
"140","Daniel","clp5_5_15",10.5980442852
"141","Daniel","clp50_0_5",14.592474147
"142","Daniel","clp50_5_15",18.1571414302
"143","Daniel","clp95_0_5",24.8060531893
"144","Daniel","clp95_5_15",29.4603115336
"145","Daniel","samn_0_5",48.7468286358
"146","Daniel","samn_5_15",45.4474410863
"147","Daniel","sap5_0_5",23.4036129965
"148","Daniel","sap5_5_15",20.9943962269
"149","Daniel","sap50_0_5",46.3002761457
"150","Daniel","sap50_5_15",43.8013507628
"151","Daniel","sap95_0_5",65.0719188251
"152","Daniel","sap95_5_15",60.9716254204
"153","Daniel","simn_0_5",31.574542759
"154","Daniel","simn_5_15",30.7258662701
"155","Daniel","sip5_0_5",11.4250954857
"156","Daniel","sip5_5_15",13.8810419607
"157","Daniel","sip50_0_5",29.8572029922
"158","Daniel","sip50_5_15",28.7491090157
"159","Daniel","sip95_0_5",43.2907374326
"160","Daniel","sip95_5_15",41.9495123623
"161","Douglas","bdmn_0_5",1.32018439349
"162","Douglas","bdmn_5_15",1.34091806424
"163","Douglas","bdp5_0_5",1.12000116547
"164","Douglas","bdp5_5_15",1.06525560689
"165","Douglas","bdp50_0_5",1.30746498834
"166","Douglas","bdp50_5_15",1.34228508725
"167","Douglas","bdp95_0_5",1.47208001573
"168","Douglas","bdp95_5_15",1.47704589153
"169","Douglas","clmn_0_5",15.1594005568
"170","Douglas","clmn_5_15",17.8808310626
"171","Douglas","clp5_0_5",4.76180647634
"172","Douglas","clp5_5_15",6.26367365542
"173","Douglas","clp50_0_5",13.9613434366
"174","Douglas","clp50_5_15",17.1262508287
"175","Douglas","clp95_0_5",26.8410877807
"176","Douglas","clp95_5_15",28.9802249938
"177","Douglas","samn_0_5",52.9236213373
"178","Douglas","samn_5_15",50.6576389474
"179","Douglas","sap5_0_5",24.1958595757
"180","Douglas","sap5_5_15",24.904665099
"181","Douglas","sap50_0_5",53.0561396785
"182","Douglas","sap50_5_15",50.1825847352
"183","Douglas","sap95_0_5",75.5693290586
"184","Douglas","sap95_5_15",73.5147949988
"185","Douglas","simn_0_5",27.8666317107
"186","Douglas","simn_5_15",27.1749398827
"187","Douglas","sip5_0_5",12.6743106199
"188","Douglas","sip5_5_15",12.3963417792
"189","Douglas","sip50_0_5",25.7249575288
"190","Douglas","sip50_5_15",25.1688489268
"191","Douglas","sip95_0_5",44.6378035137
"192","Douglas","sip95_5_15",43.8914135659
"193","Elk Basin East","bdmn_0_5",1.31168947563
"194","Elk Basin East","bdmn_5_15",1.3366796807
"195","Elk Basin East","bdp5_0_5",1.14486803732
"196","Elk Basin East","bdp5_5_15",1.23423279016
"197","Elk Basin East","bdp50_0_5",1.2922532724
"198","Elk Basin East","bdp50_5_15",1.31728846012
"199","Elk Basin East","bdp95_0_5",1.42224278292
"200","Elk Basin East","bdp95_5_15",1.43382875274
"201","Elk Basin East","clmn_0_5",15.5144940122
"202","Elk Basin East","clmn_5_15",20.0121532302
"203","Elk Basin East","clp5_0_5",7.84377053181
"204","Elk Basin East","clp5_5_15",12.1027012821
"205","Elk Basin East","clp50_0_5",14.9236122844
"206","Elk Basin East","clp50_5_15",19.3743359426
"207","Elk Basin East","clp95_0_5",22.4055349064
"208","Elk Basin East","clp95_5_15",26.5043410111
"209","Elk Basin East","samn_0_5",55.5465392668
"210","Elk Basin East","samn_5_15",51.6286470517
"211","Elk Basin East","sap5_0_5",32.9514041411
"212","Elk Basin East","sap5_5_15",29.6365423964
"213","Elk Basin East","sap50_0_5",55.1860440014
"214","Elk Basin East","sap50_5_15",51.1251337501
"215","Elk Basin East","sap95_0_5",68.8205074055
"216","Elk Basin East","sap95_5_15",63.9007292899
"217","Elk Basin East","simn_0_5",25.6550322682
"218","Elk Basin East","simn_5_15",24.7339498539
"219","Elk Basin East","sip5_0_5",13.5845441234
"220","Elk Basin East","sip5_5_15",10.9572046705
"221","Elk Basin East","sip50_0_5",24.128273357
"222","Elk Basin East","sip50_5_15",22.1105808038
