Population,Years,No. of years,Model,a,lambda,lambda 95% C.I.,lambda 95% Lower,lambda 95% Upper,No. parameters,AICc,?AICc,AICc weight,10-fold C.V. error
South Rawlins,1998–2015,15,Gompertz t.i.,,1.085,0.822–1.431,0.822,1.431,5,16.098,0.289,0.311,0.09
South Rawlins,1998–2015,15,Ricker t.i.a,a,1.081,0.807–1.449,0.807,1.449,5,17.589,1.781,0.148,0.083
South Rawlins,1998–2015,15,Ricker,,1.197,0.969–1.479,0.969,1.479,3,18.117,2.308,0.113,0.155
South Rawlins,1998–2015,15,Gompertz n.i.,,1.116,0.829–1.503,0.829,1.503,7,20.756,4.948,0.03,0.102
South Rawlins,1998–2015,15,Exponential,,1.107,0.871–1.408,0.871,1.408,2,21.426,5.617,0.022,0.201
South Rawlins,1998–2015,15,Exponential t.i.,,0.981,0.649–1.482,0.649,1.482,4,22.093,6.284,0.016,0.178
South Rawlins,1998–2015,15,Ricker n.i.,,1.094,0.714–1.677,0.714,1.677,7,29.039,13.231,0,0.306
South Rawlins,1998–2015,15,Exponential n.i.,,1.094,0.675–1.776,0.675,1.776,6,29.655,13.847,0,0.225
Thunder Basin,2000–2015,15,Exponential t.i.a,a,0.745,0.621–0.895,0.621,0.895,4,8.064,0,0.726,0.059
Thunder Basin,2000–2015,15,Gompertz t.i.,,0.789,0.630–0.989,0.63,0.989,5,11.482,3.419,0.131,0.073
Thunder Basin,2000–2015,15,Ricker t.i.,,0.789,0.629–0.989,0.629,0.989,5,11.492,3.428,0.131,0.061
Thunder Basin,2000–2015,15,Exponential,,0.925,0.748–1.145,0.748,1.145,2,17.842,9.778,0.005,0.164
Thunder Basin,2000–2015,15,Gompertz,,0.93,0.756–1.145,0.756,1.145,3,18.921,10.857,0.003,0.166
Thunder Basin,2000–2015,15,Ricker,,0.961,0.771–1.198,0.771,1.198,3,19.306,11.242,0.003,0.148
Thunder Basin,2000–2015,15,Exponential n.i.,,0.804,0.519–1.246,0.519,1.246,5,22.639,14.576,0,0.189
Thunder Basin,2000–2015,15,Gompertz n.i.,,0.83,0.561–1.228,0.561,1.228,6,28.078,20.014,0,0.199
Thunder Basin,2000–2015,15,Ricker n.i.,,0.814,0.552–1.199,0.552,1.199,6,28.289,20.225,0,0.206
Uinta,2003–2015,12,Exponential n.i.,,0.803,0.630–1.024,0.63,1.024,4,14.109,0,0.378,0.15
Uinta,2003–2015,12,Exponential t.i.a,a,0.781,0.594–1.028,0.594,1.028,4,15.174,1.065,0.222,0.129
Uinta,2003–2015,12,Exponential,,1.009,0.782–1.301,0.782,1.301,2,16.364,2.255,0.123,0.174
Uinta,2003–2015,12,Ricker t.i.,,0.87,0.658–1.152,0.658,1.152,5,17.058,2.949,0.087,0.116
Uinta,2003–2015,12,Gompertz t.i.,,0.861,0.648–1.145,0.648,1.145,5,17.681,3.572,0.063,0.124
Uinta,2003–2015,12,Gompertz,,0.963,0.742–1.249,0.742,1.249,3,18.039,3.93,0.053,0.185
Uinta,2003–2015,12,Ricker,,0.995,0.770–1.287,0.77,1.287,3,18.701,4.591,0.038,0.189
Uinta,2003–2015,12,Gompertz n.i.,,0.85,0.584–1.237,0.584,1.237,5,20.051,5.942,0.019,0.178
Uinta,2003–2015,12,Ricker n.i.,,0.815,0.558–1.190,0.558,1.19,5,20.373,6.263,0.017,0.182
Washakie,2003–2015,12,Exponential n.i.,,0.826,0.649–1.051,0.649,1.051,4,13.922,0,0.273,0.125
Washakie,2003–2015,12,Exponential t.i.a,a,0.792,0.610–1.030,0.61,1.03,4,14.063,0.141,0.254,0.11
Washakie,2003–2015,12,Exponential,,1.04,0.814–1.329,0.814,1.329,2,15.462,1.54,0.126,0.161
Washakie,2003–2015,12,Gompertz,,0.988,0.778–1.256,0.778,1.256,3,16.182,2.26,0.088,0.156
Washakie,2003–2015,12,Ricker t.i.,,0.899,0.671–1.203,0.671,1.203,5,16.433,2.511,0.078,0.097
Washakie,2003–2015,12,Ricker,,1.029,0.815–1.300,0.815,1.3,3,16.464,2.543,0.076,0.16
Washakie,2003–2015,12,Gompertz t.i.,,0.898,0.661–1.221,0.661,1.221,5,17.042,3.121,0.057,0.1
Washakie,2003–2015,12,Gompertz n.i.,,0.914,0.657–1.271,0.657,1.271,5,18.667,4.746,0.025,0.129
Washakie,2003–2015,12,Ricker n.i.,,0.907,0.649–1.266,0.649,1.266,5,18.913,4.991,0.022,0.136
