"","coreName","year","mean","median","sd","q025","q975","propGT5","propGT10","propGT15","propGT20","propGT25","propGT30","propGT35","propGT40","propGT45","propGT50","propGT55","propGT60","propGT65","propGT70","propGT75","propGT80","propGT85","propGT90","propGT95","propGT100"
"1","Bear River",1985,18.6003958926141,20,6.78606224357782,6,29,0.986267474947421,0.837807744649264,0.663243845107015,0.457008536434492,0.168378077446493,0.0107633304466164,0.000247432883830261,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Bear River",1986,18.3430656934307,19,6.52781988275506,6,28,0.982061115922306,0.847705060002474,0.658913769639985,0.439811951008289,0.141531609550909,0.00383520969936905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Bear River",1987,19.9959173574168,21,6.4430083427638,6,30,0.977483607571446,0.897191636768527,0.760361252010392,0.547568971916368,0.203884696276135,0.0124953606334282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Bear River",1988,18.7123592725473,19,6.64013125972176,5,30,0.974761845849313,0.864901645428677,0.686378819745144,0.444265742917234,0.164048001979463,0.0141036743783249,0.000866015093405914,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Bear River",1989,18.357169367809,19,6.10669641930293,6,29,0.989607818879129,0.875417542991464,0.677718668811085,0.395026599035012,0.126933069404924,0.00420635902511444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Bear River",1990,19.6482741556353,20,6.00219628433156,8,30,0.991587281949771,0.927625881479649,0.735741680069281,0.47358653965112,0.183966349127799,0.0158357045651367,0.000247432883830261,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Bear River",1991,19.0090313002598,19,6.33362970348529,7,30,0.989855251762959,0.898181368303848,0.678708400346406,0.441667697637016,0.177904243473958,0.0150934059136459,0.000866015093405914,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Bear River",1992,20.5129283681801,21,5.78088521560168,8,30,0.99492762588148,0.9435853024867,0.795249288630459,0.53123840158357,0.221081281702338,0.0174440183100334,0.000371149325745392,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bear River",1993,19.2176172213287,19,5.92880522672501,8,29,0.992082147717432,0.922429790919213,0.719782259062229,0.439317085240628,0.164171718421378,0.010392181120871,0.000494865767660522,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Bear River",1994,20.4424099962885,21,5.97395922286845,8,30,0.992082147717432,0.935914883087962,0.785104540393418,0.533341581096128,0.224174192750216,0.0186811827291847,0.000989731535321044,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Bear River",1995,19.8243226524805,20,6.05773731779028,8,30,0.990968699740196,0.930223926759866,0.738958307559075,0.490411975751577,0.206853890882098,0.0124953606334282,0.000866015093405914,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Bear River",1996,18.3470246195719,19,5.86828110107044,7,28,0.989978968204874,0.90040826425832,0.655449709266361,0.397129778547569,0.12322157614747,0.00309291104787826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Bear River",1997,20.3550661882964,21,5.96321064716138,8,30,0.991092416182111,0.941976988741804,0.778547568971916,0.522454534207596,0.221947296795744,0.0154645552393913,0.000618582209575653,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Bear River",1998,21.6231597179265,23,5.94830639640387,8,31,0.989607818879129,0.946554497092664,0.842137820116293,0.626376345416306,0.290733638500557,0.02845478164048,0.00136088086106644,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Bear River",1999,21.2398861808734,22,5.79339772077767,8,30,0.991216132624026,0.941729555857974,0.834219967833725,0.607447729803291,0.254237288135593,0.0184337498453544,0.000494865767660522,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Bear River",2000,20.7761969565755,22,6.08026145395769,7,30,0.98552517629593,0.92453297043177,0.806878634170481,0.586168501793888,0.238401583570457,0.0169491525423729,0.000618582209575653,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Bear River",2001,20.0805394036867,21,6.11992022129343,7,30,0.987999505134232,0.917481133242608,0.77285661264382,0.518000742298651,0.198070023506124,0.0165780032166275,0.000494865767660522,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Bear River",2002,19.6196956575529,20,6.42730025928684,6,30,0.984288011876778,0.894964740814054,0.749103055796115,0.482741556352839,0.188915006804404,0.0244958554991958,0.00148459730298157,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Bear River",2003,20.6947915377954,22,6.19722510089941,7,31,0.987628355808487,0.926883582828158,0.798713349004083,0.563280960039589,0.233205493010021,0.0298156625015465,0.00197946307064209,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Bear River",2004,20.3642212049981,21,6.26503371579872,7,31,0.986762340715081,0.916862551033032,0.776444389459359,0.54979586787084,0.21823580353829,0.0254855870345169,0.00136088086106644,0.000247432883830261,0,0,0,0,0,0,0,0,0,0,0,0
"21","Bear River",2005,18.9991339849066,20,6.06833349123041,7,29,0.986267474947421,0.898676234071508,0.720153408387975,0.43572930842509,0.141284176667079,0.013237659284919,0.000742298651490783,0.000247432883830261,0,0,0,0,0,0,0,0,0,0,0,0
"22","Bear River",2006,21.1389335642707,22,6.0165466964754,7,31,0.987009773598911,0.934801435110726,0.825064951132005,0.60645799826797,0.246319435853025,0.0270939007794136,0.0016083137448967,0.000247432883830261,0,0,0,0,0,0,0,0,0,0,0,0
"23","Bear River",2007,20.6198193739948,22,5.97061086717529,7,30,0.989731535321044,0.927873314363479,0.801929976493876,0.571198812322158,0.20883335395274,0.0223926759866386,0.000989731535321044,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Bear River",2008,20.826549548435,22,5.93800795211322,7,30,0.99010268464679,0.930223926759866,0.811827291847086,0.591859458121984,0.217493504886799,0.0230112581962143,0.00111344797723617,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Bear River",2009,21.602004206359,23,5.88660737950709,8,31,0.99035011753062,0.941729555857974,0.844735865396511,0.645181244587406,0.264010887046889,0.030310528269207,0.00185574662872696,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Bear River",2010,21.4243473957689,23,6.0661054468512,7,31,0.988494370901893,0.932821972040084,0.834467400717555,0.627984659161202,0.262897439069652,0.0330322899913398,0.00197946307064209,0.000123716441915131,0,0,0,0,0,0,0,0,0,0,0,0
"27","Bear River",2011,22.1176543362613,23,5.71568292247364,8,31,0.991339849065941,0.951998020536929,0.86688110849932,0.680316714091303,0.297661759247804,0.0336508722009155,0.00210317951255722,0.000247432883830261,0,0,0,0,0,0,0,0,0,0,0,0
"28","Bear River",2013,21.9826796981319,23,5.66026074835679,8,31,0.989112953111469,0.953111468514166,0.869108004453792,0.679574415439812,0.275392799703081,0.031300259804528,0.00148459730298157,0,0,0,0,0,0,0,0,0,0,0,0,0
