"Year","MeanCover","LL95","UL95","LL68","UL68"
0,19.7176614303984,19.7176614303984,19.7176614303984,19.7176614303984,19.7176614303984
1,18.7237655322479,16.4288904582848,21.2864695272089,17.3076749823443,19.9324677902693
2,18.669089347407,16.1708175068237,21.3566557233113,17.2179290336126,19.9809822297723
3,17.1743146723674,15.2823080300052,19.3319725716249,16.1322891336298,18.4292828920998
4,17.5498402397358,14.9972662289324,20.8182898780325,16.3550945773129,18.6462094634575
5,18.0411299650703,15.8170864270581,21.0747490026913,16.7301475444256,19.3853829856273
6,17.7634975472887,15.1342353648527,20.6843393903533,16.7514458590216,19.1991044263328
7,16.956505124926,14.5929959344162,19.5216315779428,15.8018621518963,18.0119974804833
8,16.8911393178218,14.7398212479243,19.2360496077571,15.4945299765227,17.9990799946556
9,16.4929484071692,14.360734190987,18.4292597965299,15.3053150350251,17.7946250310168
10,16.5625660895955,14.0104273634785,18.3244312000153,15.2961455211773,17.8659983584967
11,17.0448573228226,14.7217637571339,19.630635987097,15.7671332862515,18.3237067435246
12,16.37734190987,13.8530210341471,20.0683433223264,15.1261025748697,17.5605191731404
13,16.075843179172,14.0590778950583,18.5108439426619,14.974972037182,17.1212254013094
14,16.6762531732549,14.4516882670688,18.3319992937718,15.8909896737989,17.6932709816572
15,15.9220686759176,13.9873427687962,17.927969498578,14.8197705712813,16.7793483613598
16,16.6243549464603,14.3107079460213,19.4158629344735,15.5693359546487,17.7885484148041
17,16.0426157164398,13.9541710408276,19.3396919318204,14.4767765455899,17.6602989063007
18,15.4004710732759,13.2350222366437,17.9224838235575,14.1637029260751,16.8255967628028
19,15.3481521635395,13.3651643412036,17.6352064285851,14.2333667996412,16.3971628714856
20,15.9526651524117,13.9477009410013,17.4585439293008,14.7906777881697,16.9995571758508
21,16.1839499150617,13.8574402091962,18.8752581550266,14.7209841384971,17.4390715962665
22,15.5414197094921,13.5211400813117,16.980315798515,14.4230512874349,16.627155045714
23,15.4922906606096,13.7403385123399,17.1527146838197,14.22230917524,16.7038582962723
24,14.7616189803592,12.918936458552,16.7728240537497,13.7292504437785,15.7851539386536
25,14.9620289744422,13.1778063026092,16.8217766410261,14.0736951003035,15.7832322345441
26,14.6977011318738,12.8539672844573,16.8216993376725,13.5310354831937,15.684426714512
27,14.2930136855567,12.7622268137657,16.2879297016663,13.3394590673971,15.1084697753431
28,14.7328774026073,12.7397324922219,17.5327785306637,13.374701761753,16.0154973182417
29,14.5832009314577,12.4326496917409,16.7586660876868,13.3223164283942,16.0581443377679
30,14.0971708881296,12.2956595598481,16.1747781107442,13.2590971731786,15.0727918917371
31,14.0423198640988,12.1564090206333,16.4341084346548,12.9966688935122,15.0519593059877
32,13.5400721497967,11.4420654310855,15.1309380427936,12.3053318318032,14.818274894543
33,13.9712038327194,12.1039367448608,16.0403275371724,12.4802542421408,14.8978740623389
34,13.9296528029623,12.3812529823825,16.1194685155847,13.1922559218186,14.770866751923
35,14.0400190872478,12.252224141551,16.1346944131626,12.8884235842034,14.7848317459106
36,14.5083980072913,12.7733852188353,16.7252280926113,13.4722986772537,15.4252959477773
37,13.8832280353496,11.8524321925522,15.3495180469928,13.2680704701189,14.6655753850852
38,13.4079849592487,11.9796415414861,15.1319568246455,12.5890171976103,14.2383478078296
39,13.4343490294134,11.5109551258804,15.6460665954076,12.6187856692943,14.2751380962379
40,13.3604222099216,11.3638268023134,15.0285807676891,12.2261533469489,14.3793850088756
