"Year","MeanCover","LL95","UL95","LL68","UL68"
0,11.75949801291,11.75949801291,11.75949801291,11.75949801291,11.75949801291
1,11.7467759941513,10.3973275632075,13.1324508078292,11.1268114741886,12.3968140035272
2,12.0296644295302,10.4650399496904,13.4448359914488,11.3079793356502,12.8285982959881
3,12.3499194422982,10.8580679837707,14.4556356609023,11.4890769300066,13.1000347177709
4,12.4140857133948,10.7146820309549,14.389308866891,11.6308600097709,13.1843652226338
5,12.1647374165405,10.7707404898601,13.9478322182299,11.44855193633,12.8008016270923
6,12.5484609494375,11.474672312058,14.19277943128,11.7715432083794,13.0400514183353
7,12.848474808827,11.4024933908036,14.5186372408727,12.0331170113612,13.5479110088596
8,12.9852598462301,11.38862958356,14.4519649149553,12.251880961703,13.821917515843
9,12.9998854521453,11.3298375333058,14.8536960393329,12.3496006070413,13.6334233038706
10,12.9335883692003,11.4046424623977,14.6450571353335,12.2396579502656,13.9247309026274
11,13.0941875106111,11.3944701035643,14.8052182334129,12.1877855813841,14.033100102906
12,13.0497028200393,11.4211397269007,14.7487499696826,11.9361044720785,13.9592800047122
13,13.3227495642954,11.6445391406486,14.5588489603725,12.4824253931736,14.1302566412462
14,13.4219577773697,11.938953979897,15.1554638910929,12.6569461528067,14.1658478308323
15,13.374568782418,11.5234878539775,15.3945084767491,12.7698759238149,14.2408860307748
16,13.870893064415,12.5961179849834,16.2286232775377,13.0529624098707,14.7029000079691
17,13.6797779725792,12.3013009635741,15.8452039582417,12.8317700172896,14.3250249988739
18,13.5457654367613,11.4786234507801,15.8609561073133,12.6489023016981,14.4438163215101
19,13.4107210693905,11.9451055565758,15.0271235183446,12.6146973282562,14.2989909671429
20,13.8773755166954,11.9816030462938,15.7353987866104,12.90895697699,14.7638452876343
21,14.209134792958,12.3900620380925,16.0585541018596,13.1462525943045,15.1160339970826
22,14.302475217679,12.4592689864975,16.1054517641271,13.1505940480851,15.6267860422088
23,14.0447379709161,12.1372656463846,15.7134287956537,12.9637675364589,14.991315290718
24,14.1576560307401,12.4329347603885,16.3418081479351,13.278513996251,15.1942515409909
25,14.108352707605,12.6941351394428,15.8783585631971,13.0711316538063,15.0357985260539
26,14.275520922481,13.0005046550225,16.0272592537412,13.3841918416703,15.1104323090089
27,14.5722067959517,12.6428966297429,16.2596202354017,13.5433168984072,15.5056914276211
