"Year","Ensemble","Proportion","TargetValue","TargetType"
0,1,0.184387963946221,13.32,"nesting"
0,2,0.184387963946221,13.32,"nesting"
0,3,0.184387963946221,13.32,"nesting"
0,4,0.184387963946221,13.32,"nesting"
0,5,0.184387963946221,13.32,"nesting"
0,6,0.184387963946221,13.32,"nesting"
0,7,0.184387963946221,13.32,"nesting"
0,8,0.184387963946221,13.32,"nesting"
0,9,0.184387963946221,13.32,"nesting"
0,10,0.184387963946221,13.32,"nesting"
0,11,0.184387963946221,13.32,"nesting"
0,12,0.184387963946221,13.32,"nesting"
0,13,0.184387963946221,13.32,"nesting"
0,14,0.184387963946221,13.32,"nesting"
0,15,0.184387963946221,13.32,"nesting"
0,16,0.184387963946221,13.32,"nesting"
0,17,0.184387963946221,13.32,"nesting"
0,18,0.184387963946221,13.32,"nesting"
0,19,0.184387963946221,13.32,"nesting"
0,20,0.184387963946221,13.32,"nesting"
0,21,0.184387963946221,13.32,"nesting"
0,22,0.184387963946221,13.32,"nesting"
0,23,0.184387963946221,13.32,"nesting"
0,24,0.184387963946221,13.32,"nesting"
0,25,0.184387963946221,13.32,"nesting"
0,26,0.184387963946221,13.32,"nesting"
0,27,0.184387963946221,13.32,"nesting"
0,28,0.184387963946221,13.32,"nesting"
0,29,0.184387963946221,13.32,"nesting"
0,30,0.184387963946221,13.32,"nesting"
0,31,0.184387963946221,13.32,"nesting"
0,32,0.184387963946221,13.32,"nesting"
0,33,0.184387963946221,13.32,"nesting"
0,34,0.184387963946221,13.32,"nesting"
0,35,0.184387963946221,13.32,"nesting"
0,36,0.184387963946221,13.32,"nesting"
0,37,0.184387963946221,13.32,"nesting"
0,38,0.184387963946221,13.32,"nesting"
0,39,0.184387963946221,13.32,"nesting"
0,40,0.184387963946221,13.32,"nesting"
0,41,0.184387963946221,13.32,"nesting"
0,42,0.184387963946221,13.32,"nesting"
0,43,0.184387963946221,13.32,"nesting"
0,44,0.184387963946221,13.32,"nesting"
0,45,0.184387963946221,13.32,"nesting"
0,46,0.184387963946221,13.32,"nesting"
0,47,0.184387963946221,13.32,"nesting"
0,48,0.184387963946221,13.32,"nesting"
0,49,0.184387963946221,13.32,"nesting"
0,50,0.184387963946221,13.32,"nesting"
1,1,0.207794259762116,13.32,"nesting"
1,2,0.122936332670706,13.32,"nesting"
1,3,0.165192596702542,13.32,"nesting"
1,4,0.131336143068687,13.32,"nesting"
1,5,0.338505745014679,13.32,"nesting"
1,6,0.0537940613413975,13.32,"nesting"
1,7,0.161885584734833,13.32,"nesting"
1,8,0.242532583254026,13.32,"nesting"
1,9,0.180643691507226,13.32,"nesting"
1,10,0.17078144692797,13.32,"nesting"
1,11,0.265589805584441,13.32,"nesting"
1,12,0.147125287985626,13.32,"nesting"
1,13,0.206192196186648,13.32,"nesting"
1,14,0.172986121573109,13.32,"nesting"
1,15,0.110579131284701,13.32,"nesting"
1,16,0.138075098567329,13.32,"nesting"
1,17,0.111747608846624,13.32,"nesting"
1,18,0.205141301272465,13.32,"nesting"
1,19,0.285648670397466,13.32,"nesting"
1,20,0.235911210403125,13.32,"nesting"
1,21,0.16395062998578,13.32,"nesting"
1,22,0.167470760502519,13.32,"nesting"
1,23,0.172482720862469,13.32,"nesting"
1,24,0.164417286119001,13.32,"nesting"
1,25,0.220309462831023,13.32,"nesting"
1,26,0.184593733579767,13.32,"nesting"
1,27,0.12286651797361,13.32,"nesting"
