"Year","Ensemble","Proportion","TargetValue","TargetType"
0,1,0.414111171596202,13.32,"nesting"
0,2,0.414111171596202,13.32,"nesting"
0,3,0.414111171596202,13.32,"nesting"
0,4,0.414111171596202,13.32,"nesting"
0,5,0.414111171596202,13.32,"nesting"
0,6,0.414111171596202,13.32,"nesting"
0,7,0.414111171596202,13.32,"nesting"
0,8,0.414111171596202,13.32,"nesting"
0,9,0.414111171596202,13.32,"nesting"
0,10,0.414111171596202,13.32,"nesting"
0,11,0.414111171596202,13.32,"nesting"
0,12,0.414111171596202,13.32,"nesting"
0,13,0.414111171596202,13.32,"nesting"
0,14,0.414111171596202,13.32,"nesting"
0,15,0.414111171596202,13.32,"nesting"
0,16,0.414111171596202,13.32,"nesting"
0,17,0.414111171596202,13.32,"nesting"
0,18,0.414111171596202,13.32,"nesting"
0,19,0.414111171596202,13.32,"nesting"
0,20,0.414111171596202,13.32,"nesting"
0,21,0.414111171596202,13.32,"nesting"
0,22,0.414111171596202,13.32,"nesting"
0,23,0.414111171596202,13.32,"nesting"
0,24,0.414111171596202,13.32,"nesting"
0,25,0.414111171596202,13.32,"nesting"
0,26,0.414111171596202,13.32,"nesting"
0,27,0.414111171596202,13.32,"nesting"
0,28,0.414111171596202,13.32,"nesting"
0,29,0.414111171596202,13.32,"nesting"
0,30,0.414111171596202,13.32,"nesting"
0,31,0.414111171596202,13.32,"nesting"
0,32,0.414111171596202,13.32,"nesting"
0,33,0.414111171596202,13.32,"nesting"
0,34,0.414111171596202,13.32,"nesting"
0,35,0.414111171596202,13.32,"nesting"
0,36,0.414111171596202,13.32,"nesting"
0,37,0.414111171596202,13.32,"nesting"
0,38,0.414111171596202,13.32,"nesting"
0,39,0.414111171596202,13.32,"nesting"
0,40,0.414111171596202,13.32,"nesting"
0,41,0.414111171596202,13.32,"nesting"
0,42,0.414111171596202,13.32,"nesting"
0,43,0.414111171596202,13.32,"nesting"
0,44,0.414111171596202,13.32,"nesting"
0,45,0.414111171596202,13.32,"nesting"
0,46,0.414111171596202,13.32,"nesting"
0,47,0.414111171596202,13.32,"nesting"
0,48,0.414111171596202,13.32,"nesting"
0,49,0.414111171596202,13.32,"nesting"
0,50,0.414111171596202,13.32,"nesting"
1,1,0.523664791628863,13.32,"nesting"
1,2,0.374221254460775,13.32,"nesting"
1,3,0.421157684630739,13.32,"nesting"
1,4,0.317229178007621,13.32,"nesting"
1,5,0.336206375128531,13.32,"nesting"
1,6,0.236254763200871,13.32,"nesting"
1,7,0.340107663460957,13.32,"nesting"
1,8,0.345747898143108,13.32,"nesting"
1,9,0.419781648823565,13.32,"nesting"
1,10,0.391353656323716,13.32,"nesting"
1,11,0.340652029274784,13.32,"nesting"
1,12,0.340727635637815,13.32,"nesting"
1,13,0.382099437488659,13.32,"nesting"
1,14,0.430457267283615,13.32,"nesting"
1,15,0.423138571342164,13.32,"nesting"
1,16,0.341377850359886,13.32,"nesting"
1,17,0.418934857557612,13.32,"nesting"
1,18,0.409559668541704,13.32,"nesting"
