"Year","MeanCover","LL95","UL95","LL68","UL68"
0,13.9080448748682,13.9080448748682,13.9080448748682,13.9080448748682,13.9080448748682
1,13.0441844855691,10.7571866909579,15.0045809761243,12.0990622303193,13.945118419791
2,12.5761683766421,10.4986647808994,15.0487007383258,11.1585463611084,14.1518764982261
3,12.5585904688848,9.99611899510979,15.483236647809,11.0019829322083,14.0305839486049
4,12.6478569373861,10.1821747051491,15.6096605618947,11.3540627097517,13.9021612810432
5,12.5602608111995,10.6309689327836,14.8032984945824,11.4301735545115,13.9932994534471
6,12.2137501198581,10.5467350656822,14.5997075462652,11.235919071819,13.3315102119091
7,12.5602339629878,10.0220466967111,14.8990051778694,11.4573132610989,13.6436014958289
8,12.5080372039505,10.2394405024451,16.0211405695656,11.3643877648864,14.0397775433886
9,12.3072528526225,10.0153082750024,15.4669407421613,10.7274714737751,13.6134701313645
10,12.7294218045834,10.9383545881676,15.3302953303289,11.4585674561319,13.7066564387765
11,12.2935660178349,9.90186019752613,14.8752612906319,11.0924498993192,13.4841959919455
12,12.2293201649247,9.76548326781091,14.4373286029341,10.846405216224,13.4906280563812
13,12.1000172595647,10.1067264358999,14.4504650493815,10.8292645507719,13.3876805062806
14,12.3061405695656,10.1567983507527,14.0867149295234,11.3024220922428,13.4261156390833
15,12.4963965864417,10.7455988110078,15.075220538882,11.491387477227,13.4415380189855
16,12.468246236456,10.746627193403,14.9754290919551,11.301413366574,13.6747492568799
17,12.5180861060504,10.4477898168568,15.0464953495062,11.4814996643974,13.9531613769297
18,12.7992482500719,10.9208912647425,15.6641240770927,11.4832754818295,14.3618103365615
19,12.5591159267427,10.670776200978,14.7110676958481,11.521737462844,13.6867235593058
20,12.436107009301,9.24319206060025,14.4224254482692,11.1966286317001,13.7292971521718
21,12.5913759708505,10.0873405887429,14.8127049573305,11.2694946783009,13.6943331095982
22,12.8025198964426,10.6924513376163,15.2181920606002,11.6097574072298,13.8704612139227
23,12.4756448365136,10.2273588071723,15.8204909387285,11.1470093009876,13.9366228785118
24,12.743244798159,9.77866286317001,15.8818798542526,11.463944769393,14.1580976124269
25,12.5226234538307,10.7648576085914,14.4490147665164,11.1554818295139,13.5814593920798
26,12.7995167321891,10.868124940071,16.038110077668,11.4139764119283,14.1449304823089
27,12.7237702560169,10.1756640138077,15.3943187266277,11.5864761722121,13.9776699587688
28,12.4782222648384,10.2414061750887,15.2261434461597,10.7338344999521,13.8772384696519
29,12.7191370217662,10.6859861923483,15.2803456707259,11.1787668999904,14.0626522197718
30,12.4793824911305,10.1922763448077,14.9096821363506,11.2238297056285,13.4673544922811
31,12.4378233771215,10.7187386134816,14.5403178636494,11.4775529772749,13.579821651165
32,12.574421325151,10.2912551538978,16.1282457570237,11.2321641576374,14.0485300604085
33,12.2924729120721,9.70209032505513,14.8218693067408,10.9424374340781,13.6742506472337
34,12.4937366957522,10.6851735545115,14.7275913318631,11.2875827020807,13.4013462460447
35,12.5989068942372,10.6209607824336,15.5160274235305,11.2173631220635,14.1299952056765
36,12.7676594112571,10.6134936235497,15.1156534662959,11.4037012177582,14.1920490938729
37,12.5572116214402,10.2952727970083,14.9345814555566,11.2699932879471,13.9970351903346
38,12.485714833637,10.4127552977275,15.481635343753,11.4046063860389,13.3212196759037
39,12.6577102310864,10.3269464953495,16.2613026177006,11.3124671588839,14.3271339533992
40,12.6213059737271,10.5472983986959,16.3519105379231,11.0637683382875,13.8036360149583
41,12.4800115063764,9.74571866909579,15.2632323329178,11.2990775721546,13.5672144980343
42,12.7704017643111,10.7933670534088,15.1152099913702,11.6024585291015,13.7454405983316
