"Year","MeanCover","LL95","UL95","LL68","UL68"
0,11.0838334988557,11.0838334988557,11.0838334988557,11.0838334988557,11.0838334988557
1,13.1088153633577,10.3690959778056,16.965216546483,11.3382054492854,14.9579178721016
2,14.5591070426184,11.2942441383479,18.080910499158,12.5475607755084,16.4988699857507
3,15.8531115333132,10.9203881320437,20.6485000431798,13.2971548857895,18.8628559091498
4,14.8235485124574,10.4246559113088,18.5602214581804,13.2064428515912,17.1714456582754
5,15.1639138132044,11.9277419145904,19.1895467204974,12.828754264001,17.5412150783713
6,14.8662114080919,11.5873094693208,17.8744051988428,12.957357830649,16.9020095859061
7,15.7023081739281,12.6115678569886,19.8224100241807,13.6666401830822,17.2288876894512
8,15.968182564014,12.3039066885444,20.5813104516603,13.5078759877369,18.0554276954963
9,17.3080022885271,13.9588289110065,21.7571276285677,15.7107353512673,19.2146806856945
10,16.7903849475366,12.4918757286584,21.4356297767607,14.5974381449976,18.991549289693
11,15.4065967874261,11.3129922492336,19.4947498812557,13.249178289218,17.5071432272551
12,16.2244842177987,12.9864577486075,21.128985761475,13.8117751198238,17.8537989550499
13,16.6254473422859,13.2560251953884,21.5582235847835,14.0460935273544,18.8507867351785
14,16.1119916663068,11.1697544691049,20.0123612850296,13.9236979144177,18.3249410596313
15,17.7230392072197,13.000550002159,24.6606872598126,15.4495198410985,19.6214175914331
16,16.4364128416598,13.0038073751025,21.6046353469493,13.615908717993,18.5591951293234
17,17.1491670624811,12.857988255106,23.316227762425,14.6660486204067,20.193493242368
18,17.687584524375,13.2588143378384,21.1241577248586,15.2329094520489,20.1152679303942
19,17.1202886566778,12.2500885185025,20.9975781553608,14.9812215553349,19.3435528304331
20,16.1607062049311,12.1016394814111,20.6082276328857,13.9388173064467,18.7204296385854
21,16.1939442549333,12.6185702642601,20.8496302733279,13.2887123796364,18.2537160499158
22,17.1275568893303,13.2037803877542,21.2522520942182,14.3337043913813,19.795873310592
