"Year","MeanCover","LL95","UL95","LL68","UL68"
0,13.1898589780279,13.1898589780279,13.1898589780279,13.1898589780279,13.1898589780279
1,12.6745185061528,10.6427792815352,14.9498909941493,11.7965003656714,13.5690010811155
2,12.9227251263951,11.1410495961716,15.2693855527998,12.0263943209641,13.8761075073929
3,13.1193529206016,10.9934830002544,15.6129704044644,12.1311060765048,14.2312868453687
4,13.2057063817609,11.080246291615,15.5775916960794,11.6991518013291,14.4583457343636
5,13.2017215173773,10.800604053388,15.169899182009,11.8915355019237,14.3791187319152
6,13.1403612197526,10.9227559898566,15.2095624065948,11.7836842188941,14.3443855130529
7,13.3726026264746,10.9764830559,15.8534582776877,11.6047823460205,14.7704264046552
8,13.3058211707844,10.9696908089287,15.8085213361315,12.0801467455245,14.6859106807848
9,13.4367177016757,11.4384751899901,15.7443073507902,12.1576051702757,14.6849535756304
10,13.0231090018761,10.2064149496009,15.4291860432764,11.5750597793253,14.2875008744316
11,12.9069278832395,11.2733473242392,14.8480591592737,11.9029175808452,13.5392432191803
12,13.0744380584438,10.6011270231168,15.9537314382015,11.9873690737384,14.3126913415371
13,13.277121291615,10.5519395489523,17.0580005524818,11.7995438646698,14.794198861649
14,12.9098720945022,10.5379606664759,15.6759634646571,11.6004915895577,14.1677638398677
15,13.1094185824668,11.5869522878311,15.1104640648351,12.1345848834621,14.2462277019937
16,13.0333789627651,11.0966417851124,15.426974923686,11.884222391809,13.9606543928265
17,12.9534757861935,10.0487896077777,15.5060533522529,11.6822077013578,14.2396107984356
18,12.6231781614678,10.3604361426436,14.4266485023371,11.5632988330313,13.676234220484
19,12.8431716429775,10.7656750810837,14.6872615186492,11.8333377849852,14.0936559191071
20,12.661361649019,10.4237174671691,15.0426696794811,11.241046138192,14.1293498998378
21,13.1068422684346,10.4901595638971,15.2731419321759,11.6065432923145,14.5237618048269
22,12.9556080479506,10.8491561734872,15.2838684258641,11.9293130147222,14.162004833222
23,12.750866164266,10.9957349597761,15.5280619018093,11.5792289102992,13.7983722852873
24,12.7109489967885,10.1221035446278,15.2338245055487,11.5723412509142,13.861508951
25,12.7877018347165,10.1107242082419,15.5531755779198,11.7134059906515,14.146605933416
26,12.6611454259277,10.3689948408534,14.6412246812299,11.6519696969697,13.7484148939553
27,12.7412223759102,10.6749908582149,14.6944727972273,11.2990366943305,13.8486705459633
28,13.0980265668225,11.211199680435,14.8122567490222,12.0308218067347,14.45476930904
29,12.9858945435467,10.9644950952335,15.6518309405704,11.6734183916818,14.7133403287863
30,12.7736582244269,10.6930612857325,15.9321075391904,11.276327864161,14.4233629050208
31,12.6250702725047,10.6999210030526,16.1731687613279,11.3384034468505,14.0192486247575
32,12.4367004515247,10.5903738990111,14.3553955411937,11.1799508728417,13.7818347165252
33,12.3053628891221,9.87966360218131,15.3713566011638,10.6713701548539,13.4823013450348
34,12.4166098286114,10.2145917795478,15.1228670824192,11.151855702884,13.2378248910935
35,12.6281144074533,10.6869638144297,14.3490316663487,11.4055052624885,13.7377771948234
36,12.4490489363732,10.2611494999841,15.1681382953353,11.2042126935674,13.4829821297974
37,12.7909184711756,11.1715154893637,16.2260360027346,11.6558275302871,13.6339304906356
38,12.8082407230755,10.8081729546249,15.6794258164012,11.612421380648,14.1850057235524
39,12.540873477694,10.0000811830265,14.9930129932589,11.1585802410252,14.0534875512735
40,12.4291513243664,10.161163312029,14.5675141697669,11.4672844923527,13.5746071417215
41,12.4613305669497,9.84695022099272,14.7003339732583,11.407092276384,13.622482749849
42,11.88478989793,9.97472206985914,13.9693331862698,10.5556197335368,13.2748335400172
43,12.7298133485961,10.4139000842634,15.7247258458139,11.3205128938917,13.9111504340361
44,12.7519337657795,10.7511231477948,15.0930738060034,11.5058957359534,13.7120477598652
45,13.1166078412668,10.641502710738,16.4222386840599,11.8174655791917,14.3315057712487
46,12.5228050176476,9.95559775350567,15.5110038276257,11.192112467805,13.7823423638271
47,12.4620144519699,10.64521010207,14.4803923614423,11.665162008331,13.2469396483195
48,12.597544437025,10.0487202494515,14.7356568372603,11.6862590225444,13.7868440967916
49,12.79740524341,10.3648756717225,15.4655991645203,11.2895594454514,14.3111001939648
50,12.8192639670578,9.76074358485167,15.2624078865783,11.6768768482305,14.1841837578301
51,13.2989467868613,10.603488286591,16.4750768108684,11.6352523132691,14.6878215523546
52,12.7098069095997,10.6225077705173,15.0012655410347,11.2469283602022,14.0434842125346
53,12.9014813666571,10.7103162063977,14.6320281447741,11.9089859772966,14.0577317243792
54,12.7913955928646,10.9120376442812,15.0042377142358,11.4900774269452,13.9247195459315
55,13.0672359216509,11.2734912079875,15.3535697677192,11.9104128907119,13.9217714394734
56,12.7351448376737,10.1396208941461,15.0858750476963,11.3963049699513,14.1493750198734
57,12.8336363636364,10.3399641085567,15.4648861052816,11.5087279404751,13.9905532767338
58,12.5439750071544,10.1791142007695,14.856434028109,11.3679387261916,13.8088163375624
59,12.8876218639702,10.4290755469172,15.04863171325,11.6763664981398,14.4459046392572
60,12.9787008330949,10.6932179878533,15.1985506295908,11.6532392126936,14.2001136761105
61,12.8940062482114,10.8151800335464,15.7687262512321,11.5727999300455,14.24075153423
62,12.7212373207415,10.3055975547712,15.2386437168113,11.6914213488505,14.0216482241089
63,12.948678018379,10.9976135966167,15.1997236597348,11.4094977582753,14.353307736335
64,13.0130583643359,11.150856048682,15.2344442589589,11.7803923813158,13.9963507583707
65,12.8491405927057,11.1749382929505,14.4453209958981,11.7923635091736,13.6285486024993
66,13.1467185761073,11.2044198543674,15.7978590336736,11.8787872428376,14.4369048300423
67,12.6059669623835,10.2380009102038,15.6829442112627,11.3075848198671,13.8449061973354
68,12.3806892111037,10.5658890187287,14.6319958504245,11.225516073643,13.5629865814493
69,12.4918240643582,10.3224003545423,15.096939091863,11.1222433145728,14.0008869916373
70,12.7094102356196,10.4831578508061,15.2191258068619,11.3127379248943,14.099168018061
71,13.0972281312601,10.9051317211994,15.4437144265318,11.8343330471557,14.7041673821107
72,12.7140285859646,10.7278610806385,15.4326536614837,11.6500251200356,13.6245966485421
73,12.7158474832268,10.0300744856752,15.066235114789,11.7412577506439,13.7969447359216
74,12.83923081815,10.5263188018697,14.6357897906134,11.9764757225985,13.9808928741772
75,12.6798375147064,10.9805852332348,14.5194894909218,11.490560908137,13.8043983910458
76,12.9751093039524,10.7323219736717,15.1007111712614,11.9468933829375,14.0389654679004
77,12.717344271678,10.4969046114344,15.1786318722376,11.3646936309581,14.1058191039461
78,12.9433289611752,10.4927257225985,15.9257363111705,11.2891885274572,14.4125846608795
79,12.9236106076505,10.52844456501,15.3502509022544,11.6305117809787,14.2415135616395
80,12.9476981780025,10.57461982098,15.6723219537982,11.3740414639575,14.3295762981335
81,12.9910358834939,10.8027329962797,15.6350449338612,11.5886309580591,14.2980344367071
82,12.8353740977456,10.252540422589,14.8508236549652,11.2827221851251,14.2588689624471
